country,capital_city,region,continent,alliance,year,active_personnel,reserve_personnel,total_personnel,total_aircraft,fighter_aircraft,attack_aircraft,transport_aircraft,helicopters,tanks,armored_vehicles,artillery_units,naval_assets,aircraft_carriers,defense_budget_usd,gdp_usd,population,land_area_sq_km,coastline_km,power_index_rank,Power_index_score,assets_per_capita,budget_to_gdp_ratio,personnel_density,budget_per_soldier,power_index_rank_gap,air_power_ratio,armor_intensity_index,naval_strength_per_coastline,military_burden_index,total_assets
Ethiopia,Other,Africa,Africa,Non-NATO,2025,162000,0,162000,103,25,0,8,33,338,7256,35,0,0,2097575000,354604000000,118550298,1104300,0,52,0.9305,4e-06,0.005915,0.001367,12947.993827,51,0.000636,0.000306,0.0,17.693545,441
Czechia,Other,Europe,Europe,Non-NATO,2025,28000,4200,32200,99,12,16,10,42,43,6340,50,0,0,6750000000,519007000000,10837890,78867,0,53,0.9994,1.3e-05,0.013006,0.002971,241071.428571,52,0.003536,0.000545,0.0,622.814958,142
United Arab Emirates,Other,Other,Other,Non-NATO,2025,65000,130000,195000,551,99,16,37,247,354,8707,165,181,0,2212360382,719733000000,10032213,83600,1318,54,1.0186,0.000108,0.003074,0.019437,34036.313569,53,0.008477,0.004234,0.137329,220.525659,1086
Hungary,Other,Other,Other,Non-NATO,2025,41600,20000,61600,69,12,0,3,44,209,7797,24,0,0,4576000000,388906000000,9855745,103000,0,55,1.0259,2.8e-05,0.011766,0.00625,110000.0,54,0.001659,0.002029,0.0,464.297727,278
Angola,Other,Africa,Africa,Non-NATO,2025,107000,0,107000,298,71,12,31,116,309,5500,25,31,0,1101360000,265868000000,37202061,1246700,1600,56,1.0961,1.7e-05,0.004143,0.002876,10293.084112,55,0.002785,0.000248,0.019375,29.604811,638
Kazakhstan,Other,Other,Other,Non-NATO,2025,110000,135000,245000,198,63,25,19,65,350,7736,126,26,0,2048700000,705520000000,20260006,2724900,26,57,1.1016,2.8e-05,0.002904,0.012093,18624.545455,56,0.0018,0.000128,1.0,101.120404,574
Uzbekistan,Other,Other,Other,Non-NATO,2025,48000,0,48000,192,58,13,13,101,340,2970,147,0,0,2803500000,319174000000,36520593,447400,420,58,1.1121,1.5e-05,0.008784,0.001314,58406.25,57,0.004,0.00076,0.0,76.764909,532
Morocco,Other,Africa,Africa,Non-NATO,2025,195800,150000,345800,260,83,0,31,78,903,7877,396,111,0,13400000000,337480000000,37387585,715550,1835,59,1.1273,3.4e-05,0.039706,0.009249,68437.180797,58,0.001328,0.001262,0.06049,358.407744,1274
Azerbaijan,Other,Other,Other,Non-NATO,2025,126400,300000,426400,154,12,18,3,86,497,7642,198,38,0,5000000000,215896000000,10650239,86600,713,60,1.2531,6.5e-05,0.023159,0.040037,39556.962025,59,0.001218,0.005739,0.053296,469.473032,689
Belgium,Other,Other,Other,Non-NATO,2025,25000,6400,31400,108,43,0,7,20,0,4606,0,9,0,10200000000,751592000000,11977634,30528,67,61,1.2564,1e-05,0.013571,0.002622,408000.0,60,0.00432,0.0,0.134328,851.587217,117
Bulgaria,Other,Other,Other,Non-NATO,2025,37000,3000,40000,65,10,5,6,27,90,4914,48,36,0,1373232000,214061000000,6782659,110880,354,62,1.2563,2.8e-05,0.006415,0.005897,37114.378378,61,0.001757,0.000812,0.101695,202.462191,191
Serbia,Other,Other,Other,Non-NATO,2025,25000,2000,27000,110,11,17,3,46,262,3683,90,20,0,2287461000,162213000000,6652212,77474,0,63,1.2576,5.9e-05,0.014102,0.004059,91498.44,62,0.0044,0.003382,20.0,343.864717,392
Syria,Other,Other,Other,Non-NATO,2025,170000,50000,220000,207,104,9,3,77,365,11148,90,27,0,291850000,55935900000,23865423,187437,193,64,1.2771,2.5e-05,0.005218,0.009218,1716.764706,63,0.001218,0.001947,0.139896,12.228989,599
Ecuador,Other,Other,Other,Non-NATO,2025,41250,118000,159250,102,0,0,20,46,54,5204,5,30,0,2376000000,260213000000,18309984,283560,2237,65,1.3021,1e-05,0.009131,0.008697,57600.0,64,0.002473,0.00019,0.013411,129.765269,186
Democratic Republic of the Congo,Other,Other,Other,Non-NATO,2025,166580,31000,197580,46,1,6,6,32,105,916,8,16,0,796560000,154012000000,115403027,2344858,37,66,1.3111,1e-06,0.005172,0.001712,4781.84656,65,0.000276,4.5e-05,0.432432,6.902419,167
Cuba,Other,North America,North America,Non-NATO,2025,45500,40000,85500,31,11,0,4,13,113,6864,60,19,0,4508784000,141400000000,10966038,110860,3735,67,1.3286,1.5e-05,0.031887,0.007797,99094.153846,66,0.000681,0.001019,0.005087,411.158889,163
Austria,Other,Other,Other,Non-NATO,2025,16000,125600,141600,85,15,0,11,41,56,7322,30,0,0,5475750000,590354000000,8967982,83871,0,68,1.3704,1.6e-05,0.009275,0.01579,342234.375,67,0.005312,0.000668,0.0,610.58887,141
Sri Lanka,Other,Other,Other,Non-NATO,2025,346000,90000,436000,85,5,0,14,55,44,3190,0,270,0,1265400000,287132000000,21982608,65610,1340,69,1.3941,1.8e-05,0.004407,0.019834,3657.225434,68,0.000246,0.000671,0.201493,57.563689,399
Belarus,Other,Other,Other,Non-NATO,2025,63000,145000,208000,185,36,50,4,68,507,6916,357,0,0,1077900000,254407000000,9501451,207600,0,70,1.3954,7.3e-05,0.004237,0.021891,17109.52381,69,0.002937,0.002442,0.0,113.445831,692
Slovakia,Other,Other,Other,Non-NATO,2025,19500,0,19500,41,2,0,7,22,45,3074,35,0,0,2656000000,213053000000,5563649,49035,0,71,1.3978,1.5e-05,0.012466,0.003505,136205.128205,70,0.002103,0.000918,0.0,477.384537,86
Qatar,Other,Other,Other,Non-NATO,2025,66550,15000,81550,251,102,6,12,80,99,5024,46,115,0,9432000000,304973000000,2552088,11586,563,72,1.4307,0.000182,0.030927,0.031954,141728.024042,71,0.003772,0.008545,0.204263,3695.797324,465
Sudan,Other,Other,Other,Non-NATO,2025,92000,85000,177000,165,37,27,13,64,224,2900,100,6,0,342000000,136039000000,50467278,1861484,853,73,1.4756,8e-06,0.002514,0.003507,3717.391304,72,0.001793,0.00012,0.007034,6.776668,395
Croatia,Other,Other,Other,Non-NATO,2025,14325,20100,34425,67,10,0,0,37,45,2848,25,30,0,1176000000,159305000000,4150116,56594,5835,74,1.5074,3.4e-05,0.007382,0.008295,82094.240838,73,0.004677,0.000795,0.005141,283.365573,142
Jordan,Other,Other,Other,Non-NATO,2025,100500,65000,165500,274,44,6,13,155,1458,16624,358,27,0,2500000000,106806000000,11174024,89342,26,75,1.6139,0.000157,0.023407,0.014811,24875.621891,74,0.002726,0.016319,1.038462,223.733187,1759
Libya,Other,Africa,Africa,Non-NATO,2025,32000,0,32000,143,10,1,6,16,43,1816,15,5,0,3060000000,121951000000,7361263,1759540,1770,76,1.4449,2.6e-05,0.025092,0.004347,95625.0,75,0.004469,2.4e-05,0.002825,415.689536,191
Turkmenistan,Other,Other,Other,Non-NATO,2025,36500,0,36500,91,24,27,5,26,654,5016,73,16,0,1078020000,94790000000,5744151,488100,1768,77,1.6512,0.000132,0.011373,0.006354,29534.794521,76,0.002493,0.00134,0.00905,187.672643,761
Albania,Other,Other,Other,Non-NATO,2025,6600,2000,8600,19,0,0,0,19,46,1796,0,19,0,558862420,49592000000,3107100,28748,362,78,1.6815,2.7e-05,0.011269,0.002768,84676.124242,77,0.002879,0.0016,0.052486,179.866248,84
Kuwait,Other,Other,Other,Non-NATO,2025,72000,24000,96000,128,43,0,2,67,367,5636,74,123,0,6950000000,219060000000,3138355,17818,499,79,1.6982,0.000197,0.031726,0.030589,96527.777778,78,0.001778,0.020597,0.246493,2214.535959,618
Bolivia,Other,Other,Other,Non-NATO,2025,40000,40000,80000,64,0,0,15,33,54,890,0,67,0,550200000,119785000000,12311974,1098581,0,80,1.7221,1.5e-05,0.004593,0.006498,13755.0,79,0.0016,4.9e-05,67.0,44.688204,185
Bahrain,Other,Other,Other,Non-NATO,2025,18400,110000,128400,132,24,0,3,80,150,2764,38,64,0,1597200000,85491000000,1566888,760,161,81,1.7448,0.000221,0.018683,0.081946,86804.347826,80,0.007174,0.197368,0.397516,1019.345352,346
Oman,Other,Other,Other,Non-NATO,2025,42600,100000,142600,128,29,10,9,31,150,4084,24,22,0,8200000000,185960000000,3901992,309500,2092,82,1.8047,7.7e-05,0.044096,0.036545,192488.262911,81,0.003005,0.000485,0.010516,2101.490726,300
Kenya,Other,Other,Other,Non-NATO,2025,50000,0,50000,156,17,0,21,85,188,4128,18,23,0,1307383850,314063000000,58246378,580367,536,83,1.8135,6e-06,0.004163,0.000858,26147.677,82,0.00312,0.000324,0.04291,22.445754,367
Chad,Other,Other,Other,Non-NATO,2025,33250,0,33250,40,0,7,7,16,90,3316,10,0,0,381350000,32446000000,19093595,1284000,0,84,1.8712,7e-06,0.011753,0.001741,11469.172932,83,0.001203,7e-05,0.0,19.972666,130
Yemen,Other,Other,Other,Non-NATO,2025,66700,0,66700,84,27,12,2,30,0,550,0,33,0,810375000,67003300000,32140443,527968,1906,85,1.8901,4e-06,0.012095,0.002075,12149.550225,84,0.001259,0.0,0.017314,25.21356,117
New Zealand,Other,Oceania,Oceania,Non-NATO,2025,8670,3250,11920,48,0,0,8,21,0,2114,0,8,0,3030000000,254770000000,5161211,268838,15134,86,1.9039,1.1e-05,0.011893,0.00231,349480.968858,85,0.005536,0.0,0.000529,587.071523,56
Paraguay,Other,Other,Other,Non-NATO,2025,15650,168500,184150,39,0,0,11,14,0,1108,0,72,0,17595000000,108022000000,7522549,406752,0,87,1.9044,1.5e-05,0.162883,0.02448,1124281.15016,86,0.002492,0.0,72.0,2338.967815,111
