Country,capital_city,region,continent,alliance,NATO_Status,year,power_index_rank,power_index_score,active_personnel,reserve_personnel,total_personnel,total_aircraft,fighter_aircraft,attack_aircraft,transport_aircraft,helicopters,tanks,armored_vehicles,artillery_units,naval_assets,aircraft_carriers,submarines,defense_budget_usd,gdp_usd,population,land_area_sq_km,coastline_km,fit_for_service,population_reaching_military_age_annually,paramilitary,trainer_aircraft,special_mission_aircraft,tanker_aircraft,attack_helicopters,self_propelled_artillery,towed_artillery,rocket_projectors,helicopter_carriers,destroyers,frigates,corvettes,coastal_patrol_craft,mine_warfare_craft,external_debt_usd,foreign_exchange_and_gold_reserves_usd,labour_force,total_merchant_marine_fleet,major_ports_and_terminals,roadway_coverage_km,railway_coverage_km,total_serviceable_airports,waterway_coverage_km,oil_production_bbl,oil_consumption_bbl,proven_oil_reserves_bbl,natural_gas_production_cum,natural_gas_consumption_cum,proven_natural_gas_reserves_cum,coal_production_cum,coal_consumption_mt,proven_coal_reserves_cum,border_coverage_km
Croatia,Zagreb,Europe,Europe,NATO,NATO,2025,48,3.5,14325,20100,2033557,67,10,0,0,37,45,2848,109,30,0,0,1176000000.0,159305000000.0,4150116,56594.0,5835.0,1564594.0,53952.0,2000.0,28.0,0.0,0.0,0.0,25.0,42.0,42.0,0.0,0.0,0.0,0.0,10.0,1.0,55000000000.0,3176000000.0,1744000.0,384.0,16.0,26958.0,2617.0,40.0,4714.0,11000.0,70000.0,71000000.0,741456000.0,2502000000.0,24919000000.0,0.0,702000.0,0.0,2237.0
Cuba,La Habana,Unknown,Unknown,Neutral/Other,Non-NATO,2025,48,3.5,45500,40000,5921661,31,11,0,4,13,113,6864,205,19,0,0,4508784000.0,141400000000.0,10966038,110860.0,3735.0,4737328.0,142558.0,1145000.0,3.0,0.0,0.0,4.0,60.0,130.0,15.0,0.0,0.0,1.0,1.0,6.0,4.0,33066000000.0,10442000000.0,5317000.0,65.0,34.0,60000.0,8367.0,123.0,240.0,34000.0,165000.0,124000000.0,659434000.0,659434000.0,70792000000.0,0.0,2000.0,0.0,29.0
Czechia,Unknown,Europe,Europe,NATO,NATO,2025,48,3.5,28000,4200,5093808,99,12,16,10,42,43,6340,66,0,0,0,6750000000.0,519007000000.0,10837890,78867.0,0.0,4129236.0,97541.0,0.0,17.0,2.0,0.0,4.0,50.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,211200000000.0,148379000000.0,5502000.0,0.0,0.0,55744.0,9548.0,243.0,664.0,4000.0,211000.0,15000000.0,224725000.0,7602000000.0,3964000000.0,37423000.0,40239000.0,3595000000.0,2046.0
Democratic Republic of the Congo,Unknown,Africa,Africa,Neutral/Other,Non-NATO,2025,47,2.5,166580,31000,39237029,46,1,6,6,32,105,916,93,16,0,0,796560000.0,154012000000.0,115403027,2344858.0,37.0,31389623.0,2538867.0,10000.0,1.0,0.0,0.0,8.0,8.0,60.0,25.0,0.0,0.0,0.0,0.0,16.0,0.0,4994000000.0,3898125000.0,35983000.0,24.0,3.0,152373.0,4007.0,272.0,15000.0,19000.0,26000.0,180000000.0,380000.0,380000.0,991090000.0,0.0,23000.0,987999000.0,10481.0
Denmark,Copenhagen,Europe,Europe,NATO,NATO,2025,48,3.5,20000,12000,2628180,117,31,4,4,34,44,3856,27,50,0,0,7225466250.0,428385000000.0,5973136,43094.0,7314.0,2126436.0,77651.0,51000.0,41.0,3.0,0.0,0.0,19.0,0.0,8.0,0.0,0.0,9.0,0.0,9.0,6.0,555500000000.0,109371000000.0,3180000.0,715.0,69.0,74558.0,2682.0,99.0,400.0,63000.0,152000.0,441000000.0,1879000000.0,2208000000.0,29534000000.0,0.0,1788000.0,0.0,140.0
Dominican Republic,Santo Domingo de Guzm,Unknown,Unknown,Neutral/Other,Non-NATO,2025,48,3.5,50000,0,4975294,79,0,8,11,50,5,540,11,34,0,0,810800000.0,261616000000.0,10815857,48320.0,1288.0,4034315.0,97343.0,30000.0,17.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,27500000000.0,15547000000.0,5302000.0,40.0,17.0,19705.0,496.0,32.0,0.0,0.0,134000.0,0.0,0.0,2440000000.0,0.0,0.0,2188000.0,0.0,376.0
Ecuador,Quito,South America,South America,Neutral/Other,Non-NATO,2025,48,3.5,41250,118000,8422593,102,0,0,20,46,54,5204,135,30,0,2,2376000000.0,260213000000.0,18309984,283560.0,2237.0,6738074.0,329580.0,1500.0,34.0,8.0,0.0,0.0,5.0,106.0,24.0,0.0,0.0,2.0,6.0,5.0,0.0,44898000000.0,4442000000.0,8893000.0,154.0,6.0,43950.0,965.0,310.0,1500.0,480000.0,225000.0,8273000000.0,309778000.0,309778000.0,10902000000.0,0.0,21000.0,24000000.0,2237.0
Egypt,Cairo,Middle East,Asia,Neutral/Other,Non-NATO,2025,13,0.2224,440000,480000,45611372,1093,238,90,61,348,3620,41012,2546,150,0,8,5879500000.0,1912000000000.0,111247248,1001450.0,2450.0,38269053.0,1668709.0,300000.0,345.0,11.0,0.0,100.0,1056.0,962.0,528.0,2.0,0.0,13.0,7.0,62.0,17.0,103750000000.0,33070000000.0,33431000.0,441.0,31.0,65050.0,5085.0,73.0,3500.0,667000.0,851000.0,3300000000.0,64817000000.0,60089000000.0,1784000000000.0,289000.0,3083000.0,182000000.0,2612.0
El Salvador,San Salvador,Unknown,Unknown,Neutral/Other,Non-NATO,2025,48,3.5,25000,10000,3181777,52,0,15,4,30,0,1844,76,14,0,0,334620000.0,71957000000.0,6628702,21041.0,307.0,2512278.0,145831.0,15000.0,10.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,14258000000.0,3799434000.0,2870000.0,5.0,3.0,9012.0,13.0,27.0,422.0,3.0,58000.0,0.0,0.0,226472.0,0.0,0.0,500.0,0.0,590.0
Eritrea,Asmara,Africa,Africa,Neutral/Other,Non-NATO,2025,48,3.5,120000,130000,2220385,20,1,0,5,13,65,860,120,23,0,0,198000000.0,9702000000.0,6343956,117600.0,2234.0,1598677.0,76127.0,0.0,1.0,0.0,0.0,6.0,23.0,75.0,22.0,0.0,0.0,0.0,0.0,18.0,0.0,635504500.0,225014976.0,1800000.0,9.0,2.0,16000.0,306.0,10.0,0.0,0.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1840.0
