,country,population,available_military_manpower,manpower_fit_for_military_service,manpower_reaching_military_age_annually,active_personnel,reserve_personnel,manpower_paramilitary,total_aircraft,fighter_aircraft,attack_aircraft,transport_aircraft,aircraft_total_trainers,aircraft_total_special_mission,aircraft_total_tanker_fleet,helicopters,aircraft_helicopters_attack,tanks,armored_vehicles,armor_self_propelled_guns_total,artillery_units,armor_mlrs_total,navy_ships,navy_force_by_tonnage,aircraft_carriers,navy_helo_carriers,navy_submarines,navy_destroyers,navy_frigates,navy_corvettes,navy_patrol_coastal_craft,navy_mine_warfare_craft,defense_budget_usd,external_debt_by_country,purchasing_power_parity,reserves_of_foreign_exchange_and_gold,major_serviceable_airports_by_country,labor_force_by_country,major_ports_and_terminals,railway_coverage,roadway_coverage,oil_production_by_country,oil_consumption_by_country,proven_oil_reserves_by_country,natural_gas_production_by_country,natural_gas_consumption_by_country,proven_natural_gas_reserves_by_country,coal_production_by_country,coal_consumption_by_country,proven_coal_reserves_by_country,land_area_sq_km,coastline_km,border_coverage,waterway_coverage,capital_city,captal population,power_index_rank,year,alliance,continent,region,gdp_usd,power_index_rank_gap,naval_assets,total_military_assets,assets_per_capita,budget_to_gdp_ratio,budget_to_gdp_percent
54,Niger,26342784,7902835,5294900,447827,25000,0,5000,26,0,2,7,0,2,0,13,1,0,456,0,0,0,0,0,0,0,0,0,0,0,0,0,336400000,3844000000,44561000000,1442772000,26,10237000,0,0,18949,6000,13000,150000000,29509000,29858000,0,457000,457000,90000000,1267000,0,5834,300,Algiers,2854000,119,2025,Non-NATO,Africa,,19876128485.7857,118,0,482,482.0,0.016924825186181228,1.6924825186181227
55,North Korea,26298666,9467520,5312331,420779,1320000,560000,100000,861,368,114,1,173,0,0,205,20,4344,18288,1300,700,1500,207,143304,0,0,13,0,2,4,155,1,4736000000,5500000000,72000000000,5500000000,83,15837000,10,7435,25554,0,17000,0,0,0,0,21747000,21747000,10600000000,120538,2495,1607,2250,Pretoria,2818000,34,2025,Non-NATO,Asia,East Asia,15000000000.0,33,382,24193,24193.000014525453,0.3157333333333333,31.57333333333333
56,Syria,23865423,15273871,13245310,668232,170000,50000,50000,207,104,9,3,15,1,0,77,14,365,11148,90,641,204,27,0,0,0,0,0,0,0,16,4,291850000,4309500000,55935900000,341962500,39,6315000,3,2052,69873,75000,138000,2500000000,3085000000,3084000000,240693000000,0,47000,0,187437,193,2363,900,Bamako,2817000,64,2025,Non-NATO,,,23622830000.0,63,47,12361,12361.000001969376,0.012354573943934745,1.2354573943934746
57,Taiwan,23595274,12269542,1061787,306739,215000,2310000,55000,761,285,0,19,232,18,0,236,91,888,19921,488,1360,234,97,250414,0,0,4,4,22,7,37,14,19740000000,209000000000,1257300000000,492635000000,53,11498000,8,1613,43206,800,1022000,2380000,63747000,21157000000,6230000000,5608000,66855000,1000000,35980,1566,0,0,Taipei,2754000,22,2025,Non-NATO,Asia,East Asia,900000000000.0,21,185,22930,22930.000007840554,0.021933333333333332,2.1933333333333334
58,Burkina Faso,23042199,8525614,6060098,368675,12000,0,4500,25,0,3,2,0,2,0,18,5,0,491,0,8,9,0,0,0,0,0,0,0,0,0,0,81280000,3145000000,57152000000,47138000,49,8577000,0,622,15304,0,36000,0,0,0,0,0,0,0,274200,0,3611,0,Brazzaville,2638000,129,2025,Non-NATO,Africa,,23124729853.0218,128,0,524,524.0,0.0035148518714210545,0.35148518714210547
59,Mali,21990607,6817088,4288168,351850,40000,0,4800,43,9,12,7,4,1,0,10,8,10,570,0,10,20,0,0,0,0,0,0,0,0,0,0,650386000,4057500000,57235000000,647800000,30,8277000,0,593,139107,0,46000,0,0,0,0,0,0,0,1240192,0,7908,1800,Mogadishu,2610000,104,2025,Non-NATO,Africa,,26794747239.8805,103,0,633,633.0,0.02427289177902693,2.427289177902693
60,Sri Lanka,21982608,10551652,8551235,307757,346000,90000,0,85,5,0,14,8,3,0,55,9,44,3190,0,96,28,270,27136,0,0,0,0,5,0,59,0,1265400000,46409500000,287132000000,3450700000,18,8707000,6,1562,114093,0,121000,0,0,0,0,0,2084000,0,65610,1340,0,160,Accra,2605000,69,2025,Non-NATO,Asia,South Asia,98963185509.6499,68,334,3415,3415.0000151938298,0.012786573042119899,1.2786573042119898
61,Zambia,20799116,7279691,4139024,374384,15150,0,1200,77,0,0,13,34,0,0,32,0,35,424,12,30,25,0,0,0,0,0,0,0,0,0,0,394240000,13200000000,76493000000,2861000000,119,7051000,0,3126,67671,0,34000,0,0,0,0,831000,823000,944999000,752618,0,6043,0,Tashkent,2603000,109,2025,Non-NATO,,,29163782140.4858,108,0,566,566.0,0.01351813691725215,1.3518136917252148
62,Kazakhstan,20260006,9117003,6928922,283640,110000,135000,55000,198,63,25,19,26,0,0,65,12,350,7736,126,194,287,26,0,0,0,0,0,0,0,23,2,2048700000,91321500000,705520000000,35965000000,132,9587000,0,16636,96167,1955000,288000,30000000000,27011000000,22623000000,2407000000000,118195000,84852000,25605000000,2724900,26,13364,43983,Damascus,2585000,57,2025,Non-NATO,Asia,,291480274648.826,56,51,8478,8478.000002517274,0.007028605975029576,0.7028605975029576
63,Chad,19093595,6873694,3856906,381872,33250,0,5000,40,0,7,7,8,2,0,16,3,90,3316,10,10,20,0,0,0,0,0,0,0,0,0,0,381350000,2038000000,32446000000,211591000,42,5806000,0,0,40000,124000,15000,1500000000,0,0,0,0,0,0,1284000,0,6406,12400,Tunis,2475000,84,2025,Non-NATO,Africa,,19518819751.283,83,0,3456,3456.0,0.019537554260929804,1.9537554260929804
64,Senegal,18847519,7162057,4089912,395798,17000,0,0,40,0,0,5,23,1,0,20,5,0,1740,0,20,6,4,0,0,0,0,0,0,0,4,0,465150000,11326000000,77382000000,889295000,19,5257000,6,906,16665,9000,55000,0,54646000,54498000,0,0,502000,0,196722,531,2684,1000,Beirut,2433000,125,2025,Non-NATO,Africa,,32808056600.9436,124,8,1800,1800.0000004244591,0.014177919943804953,1.4177919943804953
65,Chile,18664652,8959033,7521855,298634,80000,40000,50000,277,45,0,32,92,21,5,87,0,386,8832,48,249,8,130,176065,0,0,4,0,8,0,40,0,5032500000,214500000000,579201000000,46377000000,374,9848000,39,7282,77801,11000,405000,150000000,1200000000,6916000000,97976000000,499000,8637000,1181000000,756102,6435,7801,12290,Baku,2401000,47,2025,Non-NATO,South America,South America,335518054097.637,46,182,9744,9744.000009751053,0.014999192855760672,1.4999192855760672
66,Ecuador,18309984,8422593,6738074,329580,41250,118000,1500,102,0,0,20,34,8,0,46,0,54,5204,5,106,24,30,0,0,0,2,0,2,6,5,0,2376000000,44898000000,260213000000,4442000000,310,8893000,6,965,43950,480000,225000,8273000000,309778000,309778000,10902000000,0,21000,24000000,283560,2237,2237,1500,Phnom Penh,2211000,65,2025,Non-NATO,South America,,124676074700.0,64,45,5466,5466.000002457676,0.019057385354144456,1.9057385354144456
67,Guatemala,18255216,7484639,6279794,182552,106114,90000,35000,36,0,4,10,0,0,0,21,0,5,688,0,50,0,25,0,0,0,0,0,0,0,20,0,408635000,27500000000,223183000000,21311000000,58,7258000,3,800,17440,6000,115000,86110000,3276000,2986000,0,0,1296000,0,108889,400,1667,990,Amman,2210000,103,2025,Non-NATO,North America,,113199581158.203,102,45,779,779.0000024650489,0.003609863179872625,0.3609863179872625
68,Romania,18148155,9437041,7731114,199630,81300,55000,15000,140,21,0,14,44,2,0,65,0,328,10774,0,720,243,20,0,0,0,0,0,3,7,3,5,9700000000,132000000000,772107000000,73000000000,82,8282000,11,10628,84185,67000,221000,600000000,9501000000,10055000000,105480000000,18160000,19404000,291000000,238391,225,2844,1731,Havana,2146000,51,2025,NATO,Europe,Eastern Europe,382564217988.866,50,38,11962,11962.000002093877,0.02535522023202469,2.5355220232024687
69,Netherlands,17772378,7997570,6486918,195496,41380,6765,5000,120,32,0,4,21,0,0,63,12,18,2755,46,0,2,64,124962,0,0,3,0,6,0,4,4,27000000000,4779954300000,1240000000000,69830000000,45,9999000,18,3055,139124,70000,872000,137747000,17774000000,33243000000,132608000000,1825000,10610000,3247000000,41543,451,1053,6237,Brussels,2110000,36,2025,NATO,Europe,Western Europe,1214927698572.66,35,81,2893,2893.0000045576344,0.022223544686420894,2.2223544686420893
70,Zimbabwe,17150352,6517134,3721626,360157,29000,0,21800,95,13,0,14,40,0,0,28,6,15,828,0,0,0,0,0,0,0,0,0,0,0,0,0,530800000,11000000000,58583000000,115530000,144,6561000,0,3427,97267,800,29000,0,0,0,0,3877000,4479000,502000000,390757,0,3229,0,Minsk,2049000,111,2025,Non-NATO,,,51035657370.5179,110,0,938,938.0,0.010400571430801843,1.0400571430801844
71,Cambodia,17063669,8190561,5733393,307146,221000,0,10000,25,0,0,4,0,0,0,21,0,644,3627,30,430,463,20,0,0,0,0,0,0,0,20,0,860000000,13200000000,85900000000,17801000000,13,9175000,2,642,47263,0,73000,0,0,0,0,113000,2215000,0,181035,443,2530,3700,Panama City,1977000,95,2025,Non-NATO,Asia,Southeast Asia,46352647037.2406,94,40,4726,4726.000002344162,0.01855341722575325,1.8553417225753248
72,Benin,14697052,5584880,3189260,308638,4750,0,0,5,0,0,0,0,0,0,5,0,0,92,0,16,0,2,0,0,0,0,0,0,0,2,0,98350000,4066500000,52510000000,698900000,10,4964000,1,438,16000,0,46000,8000000,0,182131000,1133000000,0,45000,0,112622,121,2123,150,Vienna,1960000,144,2025,Non-NATO,Africa,,21482643706.4249,143,4,113,113.00000027216342,0.004578114376611203,0.45781143766112026
73,Somalia,13017273,2993973,1796384,130173,15000,0,2000,0,0,0,0,0,0,0,0,0,0,682,0,0,0,10,0,0,0,0,0,0,0,10,0,171002350,5830000000,26351000000,16747500,38,3277000,6,0,15000,0,6000,0,0,0,5663000000,0,0,0,637657,3025,2385,0,Rabat,1959000,142,2025,Non-NATO,Africa,,26700000000.0,141,20,682,682.0000015364201,0.006404582397003746,0.6404582397003745
74,South Sudan,12703714,6351857,4065188,330297,185000,0,0,20,0,0,5,0,0,0,15,6,30,1950,24,0,15,0,0,0,0,0,0,0,0,0,0,175300000,2475000000,20010000000,183615000,82,4471000,0,248,90200,146000,14000,3750000000,0,0,0,0,0,0,644329,0,6018,0,Quito,1928000,113,2025,Non-NATO,Africa,,18426469016.9492,112,0,2000,2000.0,0.009513488440935374,0.9513488440935374
75,Bolivia,12311974,5417269,4112199,233928,40000,40000,0,64,0,0,15,19,0,0,33,0,54,890,0,106,0,67,0,0,0,0,0,0,0,50,0,550200000,11431000000,119785000000,1800000000,200,6114000,0,3690,90568,58000,87000,240900000,13760000000,3055000000,302990000000,0,9000,1000000,1098581,0,7252,10000,La Paz,1908000,80,2025,Non-NATO,South America,,54881327452.9667,79,117,1114,1114.000009502944,0.010025267710069905,1.0025267710069905
76,Tunisia,12048847,6024424,5181004,204830,89800,0,12000,154,10,0,11,28,4,0,101,0,90,7913,0,85,0,58,0,0,0,0,0,0,0,51,0,1400000000,27084500000,153637000000,9240000000,14,4445000,16,2173,20000,35000,108000,425000000,1323000000,5153000000,65129000000,0,2000,0,163610,1148,1495,0,Warsaw,1798000,90,2025,Non-NATO,Africa,North Africa,51332285656.5422,89,109,8242,8242.00000904651,0.027273283901036907,2.7273283901036907
77,Belgium,11977634,4910830,3880753,119776,25000,6400,0,108,43,0,7,38,0,0,20,0,0,4606,0,0,0,9,10190,0,0,0,0,2,0,2,5,10200000000,1449264300000,751592000000,40813000000,49,5432000,7,3602,118414,11000,585000,0,13436000,15347000000,0,1270000,4869000,4100000000,30528,67,1297,2043,Bucharest,1776000,61,2025,NATO,Europe,Western Europe,671370081636.406,60,18,4714,4714.000001502801,0.015192812844948929,1.5192812844948929
78,Jordan,11174024,3463947,2983464,145262,100500,65000,35000,274,44,6,13,66,13,0,155,44,1458,16624,358,80,56,27,0,0,0,0,0,0,0,27,0,2500000000,25646500000,106806000000,15715600000,17,3063000,1,509,7203,20,97000,1000000,187262000,4382000000,6031000000,0,479000,0,89342,26,1744,0,Budapest,1775000,75,2025,Non-NATO,Asia,Middle East,53352289577.4648,74,54,18436,18436.000004832636,0.04685834515817972,4.685834515817972
79,Cuba,10966038,5921661,4737328,142558,45500,40000,1145000,31,11,0,4,3,0,0,13,4,113,6864,60,130,15,19,0,0,0,0,0,1,1,6,4,4508784000,33066000000,141400000000,10442000000,123,5317000,34,8367,60000,34000,165000,124000000,659434000,659434000,70792000000,0,2000,0,110860,3735,29,240,Montevideo,1774000,67,2025,Non-NATO,North America,,107352000000.0,66,31,7138,7138.00000282691,0.042,4.2
80,Czechia,10837890,5093808,4129236,97541,28000,4200,0,99,12,16,10,17,2,0,42,4,43,6340,50,0,16,0,0,0,0,0,0,0,0,0,0,6750000000,211200000000,519007000000,148379000000,243,5502000,0,9548,55744,4000,211000,15000000,224725000,7602000000,3964000000,37423000,40239000,3595000000,78867,0,2046,664,Stockholm,1700000,53,2025,NATO,,,347034062928.479,52,0,6482,6482.0,0.0194505402237449,1.94505402237449
81,Dominican Republic,10815857,4975294,4034315,97343,50000,0,30000,79,0,8,11,17,1,0,50,0,5,540,0,11,0,34,0,0,0,0,0,0,0,14,0,810800000,27500000000,261616000000,15547000000,32,5302000,17,496,19705,0,134000,0,0,2440000000,0,0,2188000,0,48320,1288,376,0,Ulaanbaatar,1673000,124,2025,Non-NATO,North America,,124282245638.568,123,48,635,635.0000044379285,0.0065238602330853586,0.6523860233085359
82,Azerbaijan,10650239,5218617,3908638,159754,126400,300000,15000,154,12,18,3,35,0,0,86,16,497,7642,198,650,268,38,0,0,0,4,0,0,0,17,4,5000000000,16159500000,215896000000,13749000000,32,5473000,0,2944,24981,618000,105000,7000000000,34175000000,11759000000,1699000000000,0,60000,0,86600,713,2468,0,Muscat,1650000,60,2025,Non-NATO,Asia,,78807470588.2353,59,63,8943,8943.00000591536,0.06344576171115458,6.344576171115459
83,Portugal,10639726,5319863,4096295,127677,24000,211700,24700,115,28,0,19,23,14,3,31,0,34,10828,24,115,0,194,38657,0,0,2,0,5,2,20,0,4627000000,399395000000,529901000000,53710000000,136,5140900,18,3622,136635,12932,191000,22440000,0,4500000000,72000000000,0,0,40000000,92090,1793,1224,764,Monrovia,1623000,39,2025,NATO,Europe,Western Europe,313271185085.102,38,223,11092,11092.000020959187,0.014769950829480369,1.476995082948037
84,Sweden,10589835,4235934,3558185,105898,24400,32900,25000,169,71,0,6,33,5,1,53,0,110,6795,26,0,0,308,31673,0,0,4,0,0,7,179,8,13000000000,1002448700000,676353000000,60863000000,203,5825000,92,10910,573134,11000,283000,0,0,889924000,0,1115000,3396000,5000000,450295,3218,2211,2052,Harare,1578000,27,2025,Non-NATO,Europe,,631693331300.776,26,506,7074,7074.00004778167,0.02057960620421707,2.057960620421707
85,Greece,10461091,4916713,3985676,104611,142700,221350,55000,558,178,0,15,81,8,0,293,29,1344,61888,589,698,152,192,216348,0,0,10,0,13,0,39,7,6500000000,550000000000,375780000000,13608000000,81,4645000,57,2345,117000,5000,303000,10000000,3284000,5173000000,991090000,13703000,13988000,2876000000,131957,13676,1110,6,Kathmandu,1571000,30,2025,NATO,Europe,,351121399546.485,29,261,64488,64488.00002494959,0.018512115776467976,1.8512115776467977
86,Tajikistan,10394063,4781269,3773045,176699,9500,600000,20000,25,0,0,1,4,0,0,20,6,38,1240,3,13,20,0,0,0,0,0,0,0,0,0,0,446000000,7150000000,46467000000,2748900000,19,2677000,0,680,30000,300,28000,12000000,18476000,85567000,5663000000,2175000,2245000,4075000000,144100,0,4130,200,Abu Dhabi,1567000,108,2025,Non-NATO,Asia,,14204575548.5536,107,0,1316,1316.0,0.03139833347892008,3.139833347892008
87,United Arab Emirates,10032213,5818684,4945881,80258,65000,130000,12000,551,99,16,37,147,27,4,247,30,354,8707,165,99,49,181,44188,0,0,0,0,0,11,34,2,2212360382,264000000000,719733000000,189491000000,42,6668000,20,0,4080,4146000,939000,97800000000,56683000000,66091000000,6091000000,0,3273000,0,83600,1318,1066,0,N Djamena,1533000,54,2025,Non-NATO,Asia,Middle East,552324846834.581,53,228,9711,9711.00002272679,0.004005542018758017,0.4005542018758017
88,Hungary,9855745,4632200,3794462,118269,41600,20000,15000,69,12,0,3,12,0,0,44,8,209,7797,24,295,0,0,0,0,0,0,0,0,0,0,0,4576000000,137500000000,388906000000,45719000000,109,5006000,0,7687,203601,36000,175000,12100000,1523000000,9485000000,3738000000,5450000,6180000,2909000000,103000,0,2106,1622,Tegucigalpa,1527000,55,2025,NATO,Europe,Eastern Europe,222722738925.641,54,0,8370,8370.0,0.020545724348009924,2.0545724348009924
89,Honduras,9529188,4192843,3144632,95292,52225,60000,23000,40,4,7,10,10,1,0,8,0,11,614,0,32,0,98,0,0,0,0,0,0,0,93,0,413635000,8805500000,68854000000,7543000000,129,4676000,8,699,14742,20,67000,0,0,0,0,0,190000,0,112090,832,1575,465,Nouakchott,1492000,101,2025,Non-NATO,North America,,37093565854.0437,100,191,697,697.0000200436805,0.011151125282146693,1.1151125282146692
90,Belarus,9501451,5035769,3724569,104516,63000,145000,55000,185,36,50,4,27,0,0,68,29,507,6916,357,215,206,0,0,0,0,0,0,0,0,0,0,1077900000,44000000000,254407000000,8118000000,46,4956000,0,5528,86600,30000,131000,198000000,73929000,16683000000,2832000000,0,778000,0,207600,0,3599,2500,Niamey,1437000,70,2025,Non-NATO,,,78813069120.9984,69,0,7823,7823.0,0.01367666571067224,1.367666571067224
91,Israel,9402617,3949099,3281513,131637,170000,465000,35000,611,240,38,13,159,19,14,147,48,1300,35985,352,171,183,62,38238,0,0,5,0,0,7,46,0,30500000000,148500000000,471030000000,204661000000,37,4554000,5,1497,20391,15000,230000,12730000,22886000000,11510000000,176018000000,0,6476000,0,21937,273,1068,0,Ottawa,1423000,15,2025,Non-NATO,Asia,Middle East,540379921261.681,14,120,38067,38067.0000127624,0.056441771427754917,5.644177142775492
92,Sierra Leone,9121049,2006631,1203978,45605,13000,0,0,1,0,0,0,0,0,0,1,0,0,150,0,0,0,7,0,0,0,0,0,0,0,7,0,228600000,2687000000,14633000000,495699000,8,2913000,3,0,11701,0,9000,0,0,0,0,0,0,0,71740,402,1093,800,Belgrade,1408000,140,2025,Non-NATO,,,7686138790.90872,139,14,151,151.00000153491118,0.029741851691566058,2.974185169156606
93,Austria,8967982,4035592,3632033,98648,16000,125600,0,85,15,0,11,18,0,0,41,0,56,7322,30,0,0,0,0,0,0,0,0,0,0,0,0,5475750000,630000000000,590354000000,31212000000,61,4825000,0,6123,137039,18000,245000,35200000,618209000,8136000000,5040000000,1271000,5026000,0,83871,0,2524,358,Copenhagen,1370000,68,2025,Non-NATO,Europe,Western Europe,534790720466.822,67,0,7463,7463.0,0.010239052007522093,1.0239052007522091
94,Switzerland,8860574,3898653,3163225,97466,101584,49715,5000,146,43,0,16,44,3,0,40,0,205,6996,133,0,0,0,0,0,0,0,0,0,0,0,0,25039000000,2200000000000,733779000000,863892000000,62,4991000,0,5296,71557,300,193000,0,0,3138000000,0,0,161000,0,41277,0,1770,1292,Helsinki,1328000,44,2025,Non-NATO,Europe,Western Europe,936564198048.516,43,0,7347,7347.0,0.026734953196132026,2.6734953196132025
95,Laos,7953556,3499565,2521277,159071,100000,30000,120000,33,0,0,2,8,0,0,23,0,160,4380,40,87,64,36,0,0,0,0,0,0,0,36,0,135000000,16500000000,64173000000,1770000000,18,3174000,0,422,39568,0,24000,0,0,0,0,14845000,13691000,62000000,236800,0,5274,4600,Prague,1318000,106,2025,Non-NATO,Asia,Southeast Asia,16502930000.0,105,72,4660,4660.000009052555,0.00818036554720889,0.818036554720889
96,Paraguay,7522549,3535598,3001497,150451,15650,168500,15000,39,0,0,11,13,1,0,14,0,0,1108,0,25,0,72,0,0,0,0,0,0,0,63,0,17595000000,14370000000,108022000000,9886000000,83,3469000,1,30,78811,2000,57000,0,0,0,0,0,1000,0,406752,0,4655,3100,Freetown,1309000,87,2025,Non-NATO,South America,,44458118397.4445,86,135,1172,1172.0000179460446,0.39576573715300056,39.57657371530006
97,Libya,7361263,3827857,3290485,125141,32000,0,100000,143,10,1,6,38,0,0,16,4,43,1816,15,28,25,5,0,0,0,0,0,0,1,1,1,3060000000,3322000000,121951000000,92427000000,66,2398000,14,2000,37000,1245000,230000,48363000000,11832000000,9212000000,1505000000000,0,0,0,1759540,1770,4339,0,Sofia,1287000,76,2025,Non-NATO,Africa,North Africa,92540938129.1315,75,8,2030,2030.00000108677,0.03306644671928958,3.3066446719289577
98,Bulgaria,6782659,3187850,2611324,61044,37000,3000,0,65,10,5,6,21,0,0,27,4,90,4914,48,24,24,36,0,0,0,0,0,4,3,0,10,1373232000,27138500000,214061000000,46334000000,111,3103000,2,4029,19512,4000,101000,15000000,20837000,2801000000,5663000000,35516000,35970000,2366000000,110880,354,1806,470,Dublin,1256000,62,2025,NATO,Europe,Eastern Europe,113343355779.985,61,53,5093,5093.000007814045,0.012115681510838904,1.2115681510838905
99,Nicaragua,6676948,3271705,2777610,146893,45000,0,5500,17,0,0,5,1,0,0,11,0,89,1869,0,0,0,23,0,0,0,0,0,0,0,23,0,92000000,9053000000,51088000000,5447000000,39,3264000,5,0,23897,200,36000,0,0,0,0,0,0,0,130370,910,1253,2220,Nur-Sultan,1254000,131,2025,Non-NATO,North America,,19693982967.5926,130,46,1975,1975.0000068893753,0.004671477585381811,0.4671477585381811
100,Serbia,6652212,3259584,2574406,79827,25000,2000,600000,110,11,17,3,33,0,0,46,4,262,3683,90,150,98,20,0,0,0,0,0,0,0,7,5,2287461000,35200000000,162213000000,27569000000,43,3333000,0,3333,44248,13000,82000,77500000,353376000,2939000000,48139000000,35129000,38297000,7514000000,77474,0,2322,587,Islamabad,1232000,63,2025,Non-NATO,Europe,Eastern Europe,90097765959.1114,62,32,4205,4205.00000481043,0.02538865393219746,2.538865393219746
101,El Salvador,6628702,3181777,2512278,145831,25000,10000,15000,52,0,15,4,10,0,0,30,0,0,1844,0,76,0,14,0,0,0,0,0,0,0,10,0,334620000,14258000000,71957000000,3799434000,27,2870000,3,13,9012,3,58000,0,0,226472,0,0,500,0,21041,307,590,422,Tripoli,1176000,128,2025,Non-NATO,North America,,35364960000.0,127,24,1972,1972.0000036206184,0.00946190805814569,0.9461908058145689
102,Eritrea,6343956,2220385,1598677,76127,120000,130000,0,20,1,0,5,1,0,0,13,6,65,860,23,75,22,23,0,0,0,0,0,0,0,18,0,198000000,635504500,9702000000,225014976,10,1800000,2,306,16000,0,4000,0,0,0,0,0,0,0,117600,2234,1840,0,Amsterdam,1174000,120,2025,Non-NATO,Africa,,2065001626.01626,119,41,1020,1020.0000064628443,0.09588370173924547,9.588370173924547
103,Kyrgyzstan,6172101,3147772,2487357,117270,23000,300000,55000,7,0,0,0,0,0,0,7,2,215,2686,30,169,21,0,0,0,0,0,0,0,0,0,0,221800000,6728500000,45461000000,3237000000,28,3069000,0,424,34000,6000,31000,40000000,31026000,438000000,5663000000,3637000,3352000,28499000000,199951,0,4573,576,Maputo,1163000,105,2025,Non-NATO,Asia,,17478260000.0,104,0,3077,3077.0,0.01269005038258957,1.269005038258957
104,Republic of the Congo,6097665,2256136,1353682,115856,8500,0,2500,13,2,0,4,0,0,0,7,1,30,644,2,38,30,4,0,0,0,0,0,0,0,0,0,306400000,5741000000,38163000000,715391000,56,2461000,5,510,23324,267000,12000,2885000000,423000000,423000000,283990000000,0,0,0,342000,169,5008,1120,San Salvador,1111000,121,2025,Non-NATO,,,15719990000.0,120,4,725,725.0000006559889,0.019491106546505436,1.9491106546505437
105,Singapore,6028459,3918498,2628408,66313,51000,252500,12000,230,100,0,9,36,9,11,70,18,170,8998,48,89,24,50,81340,0,0,6,0,6,6,12,4,15000000000,1713410600000,754758000000,359835000000,9,3619000,5,0,3500,0,1470000,0,0,13724000000,0,0,784000,0,719,193,0,0,Managua,1095000,29,2025,Non-NATO,,,547386645891.847,28,84,9487,9487.00001393391,0.027402933762771607,2.740293376277161
106,Denmark,5973136,2628180,2126436,77651,20000,12000,51000,117,31,4,4,41,3,0,34,0,44,3856,19,0,8,50,121180,0,0,0,0,9,0,9,6,7225466250,555500000000,428385000000,109371000000,99,3180000,69,2682,74558,63000,152000,441000000,1879000000,2208000000,29534000000,0,1788000,0,43094,7314,140,400,Yerevan,1092000,45,2025,NATO,Europe,,424524722037.047,44,74,4017,4017.000012388802,0.01702013068951366,1.702013068951366
107,Turkmenistan,5744151,2768681,2245963,109139,36500,0,3500,91,24,27,5,9,0,0,26,10,654,5016,73,450,164,16,0,0,0,0,0,0,0,16,0,1078020000,2134500000,94790000000,23415400000,23,2163000,0,5113,58592,272000,152000,600000000,86472000000,41561000000,11327000000000,0,0,800000000,488100,1768,4158,1300,Oslo,1086000,77,2025,Non-NATO,Asia,,51387209872.2994,76,32,6211,6211.000005570884,0.020978371907697472,2.0978371907697473
108,Central African Republic,5650957,2203873,1254512,101717,10000,0,1000,6,0,6,0,0,0,0,0,0,0,228,0,0,0,0,0,0,0,0,0,0,0,0,0,45990000,666293000,5849000000,374405000,43,2114000,0,0,24000,0,2000,0,0,0,0,0,0,3000000,622984,0,5920,2800,Bishkek,1082000,143,2025,Non-NATO,Africa,,2751494281.06887,142,0,234,234.0,0.0167145540939065,1.67145540939065
109,Finland,5626414,2306830,1912981,56264,24000,870000,53800,163,54,0,11,77,1,0,27,0,200,11704,107,667,76,264,19434,0,0,0,0,0,0,8,18,6779661000,660000000000,321126000000,16929000000,98,2880000,37,5918,454000,8000,175000,0,0,1157000000,0,808000,4141000,0,338145,1250,2563,8000,Tblisi,1080000,48,2025,Non-NATO,Europe,,298696961297.656,47,290,12734,12734.000051542598,0.022697455543392576,2.2697455543392575
110,Slovakia,5563649,2837461,2353424,61200,19500,0,0,41,2,0,7,9,1,0,22,0,45,3074,35,9,25,0,0,0,0,0,0,0,0,0,0,2656000000,127600000000,213053000000,11288000000,114,2823000,0,3627,56926,7000,94000,9000000,52556000,60424000,14158000000,2343000,5794000,19000000,49035,0,1587,172,Asmara,1035000,71,2025,NATO,Europe,,140934100000.0,70,0,3169,3169.0,0.0188456874525044,1.8845687452504398
111,Norway,5509733,2203893,1807192,71627,23250,0,40000,97,0,32,4,23,5,0,33,0,44,6552,42,0,0,43,65692,0,0,6,0,4,6,18,5,9710000000,716144000000,499528000000,80459000000,145,3009000,141,3848,94902,2020000,229000,8122200000,123727000000,4548000000,1544455000000,117000,1201000,2000000,323802,25148,2566,1577,Dushanbe,987000,38,2025,NATO,Europe,,596297651035.798,37,82,6693,6693.000014882754,0.016283813936099293,1.6283813936099294
112,Liberia,5437249,2392390,1913912,65247,1500,0,5500,0,0,0,0,0,0,0,0,0,0,300,0,0,0,4,0,0,0,0,0,0,0,4,0,364800000,830923000,8884000000,599660000,99,2499000,4,429,10600,0,4000,0,0,0,0,0,0,0,111369,579,1667,0,Jerusalem,970000,138,2025,Non-NATO,Africa,,4779300900.0,137,8,300,300.00000147133227,0.07632915516995384,7.632915516995384
113,Lebanon,5364482,2092148,1775644,69738,60000,35000,65000,80,0,9,0,9,0,0,68,0,116,4538,12,353,11,64,0,0,0,0,0,0,0,61,0,768250325,36928000000,65818000000,26498095000,8,1771000,5,401,21705,0,174000,0,0,0,0,0,207000,0,10400,225,484,0,Bangui,933000,115,2025,Non-NATO,Asia,Middle East,54901519155.5556,114,125,5087,5087.000023301411,0.013993243480627058,1.3993243480627058
114,Ireland,5233461,2407392,1999182,57568,7765,1700,0,22,0,0,4,8,2,0,8,0,0,1712,0,0,0,8,0,0,0,0,0,0,0,8,0,1500000000,3300000000000,608463000000,12905000000,100,2766000,21,1688,99830,600,156000,0,1447000000,5280000000,9911000000,0,1322000,40000000,70273,1448,443,956,Ashgabat,902000,97,2025,Non-NATO,Europe,,609157459747.205,96,16,1734,1734.0000030572503,0.0024624175178327243,0.24624175178327243
