country,year,assets_per_capita,defense_budget_to_gdp,personnel_density,defense_budget_per_soldier,power_index_rank_gap,air_power_ratio,armor_intensity_index,naval_strength_per_coastline,military_burden_index,total_assets
Ukraine,2025,4.86E-05,0.255714286,0.058886497,59666.66667,19,0.000588889,0.001845746,0.031991373,1505.811845,1733
Poland,2025,3.67E-05,0.054111111,0.014249099,240969.8169,20,0.00369619,0.001963638,0.140909091,1256.893882,1423
Taiwan,2025,9.75E-05,0.024073171,0.107012955,91813.95349,21,0.006116279,0.024680378,0.061941252,836.6082123,2300
Vietnam,2025,1.77E-05,0.01685098,0.052950589,14323.33333,22,0.000651667,0.004148425,0.031939605,81.26024293,1875
Saudi Arabia,2025,6.68E-05,0.066159292,0.007032535,290894.9416,23,0.006108949,0.000390754,0.012121212,2045.728937,2442
Thailand,2025,2.47E-05,0.010514078,0.008021196,16316.70639,24,0.002216988,0.001237527,0.091022057,84.20765819,1728
Algeria,2025,5.34E-05,0.089285714,0.009782557,76923.07692,25,0.002821538,0.000623494,0.110220441,531.6606806,2512
Sweden,2025,6.64E-05,0.0203125,0.005410849,532786.8852,26,0.011680328,0.000244284,0.095711622,1227.592309,703
Canada,2025,1.87E-05,0.017982456,0.002448781,602941.1765,27,0.008514706,7.41E-06,0.000361243,1056.842315,726
Singapore,2025,0.000102016,0.027777778,0.050344541,294117.6471,28,0.007745098,0.236439499,0.259067358,2488.198062,615
Greece,2025,0.000227127,0.026,0.034800386,45550.10512,29,0.005886475,0.010185136,0.014039193,621.3501058,2376
Nigeria,2025,3.07E-06,0.006076923,0.000971501,13739.13043,30,0.001143478,0.000357233,0.155920281,13.34757469,726
