country,rank,total_population_by_country,available_military_manpower,manpower_fit_for_military_service,manpower_reaching_military_age_annually,active_military_manpower,active_reserve_military_manpower,manpower_paramilitary,capital_cities_by_total_population,aircraft_total,aircraft_total_fighters,aircraft_total_attack_types,aircraft_total_transports,aircraft_total_trainers,aircraft_total_special_mission,aircraft_total_tanker_fleet,aircraft_helicopters_total,aircraft_helicopters_attack,armor_tanks_total,armor_apc_total,armor_self_propelled_guns_total,armor_towed_artillery_total,armor_mlrs_total,navy_ships,navy_force_by_tonnage,navy_aircraft_carriers,navy_helo_carriers,navy_submarines,navy_destroyers,navy_frigates,navy_corvettes,navy_patrol_coastal_craft,navy_mine_warfare_craft,defense_spending_budget,external_debt_by_country,purchasing_power_parity,reserves_of_foreign_exchange_and_gold,major_serviceable_airports_by_country,labor_force_by_country,major_ports_and_terminals,railway_coverage,roadway_coverage,oil_production_by_country,oil_consumption_by_country,proven_oil_reserves_by_country,natural_gas_production_by_country,natural_gas_consumption_by_country,proven_natural_gas_reserves_by_country,coal_production_by_country,coal_consumption_by_country,proven_coal_reserves_by_country,square_land_area,coastline_coverage,border_coverage,waterway_coverage,year,capital_city,continent,alliance,region
Belarus,70,9501451,5035769,3724569,104516,63000,145000,55000,0,185,36,50,4,27,0,0,68,29,507,6916,357,215,206,0,0,0,0,0,0,0,0,0,0,1077900000,44000000000,2.54E+11,8118000000,46,4956000,0,5528,86600,30000,131000,198000000,73929000,16683000000,2832000000,0,778000,0,207600,0,3599,2500,2025,Minsk,Europe,Non-NATO,Europe & Central Asia
Slovakia,71,5563649,2837461,2353424,61200,19500,0,0,0,41,2,0,7,9,1,0,22,0,45,3074,35,9,25,0,0,0,0,0,0,0,0,0,0,2656000000,1.28E+11,2.13E+11,11288000000,114,2823000,0,3627,56926,7000,94000,9000000,52556000,60424000,14158000000,2343000,5794000,19000000,49035,0,1587,172,2025,Bratislava,Europe,Non-NATO,Europe & Central Asia
Qatar,72,2552088,638022,490001,12760,66550,15000,5500,0,251,102,6,12,51,0,0,80,24,99,5024,46,12,16,115,0,0,0,0,0,0,4,105,0,9432000000,1.87E+11,3.05E+11,51539000000,8,2035000,6,0,7039,1815000,297000,25244000,1.7E+11,41515000000,2.39E+13,0,0,0,11586,563,87,0,2025,Doha,Asia,Non-NATO,Middle East & North Africa
Sudan,73,50467278,26747657,17108407,1312149,92000,85000,17500,0,165,37,27,13,15,0,0,64,35,224,2900,100,287,192,6,0,0,0,0,0,0,0,6,0,342000000,37846000000,1.36E+11,206763700,41,13590000,4,7251,31000,68000,127000,1250000000,0,0,84951000000,0,0,0,1861484,853,6819,4068,2025,Khartoum,Africa,Non-NATO,Sub-Saharan Africa
Croatia,74,4150116,2033557,1564594,53952,14325,20100,2000,0,67,10,0,0,28,0,0,37,0,45,2848,25,42,42,30,0,0,0,0,0,0,0,10,1,1176000000,55000000000,1.59E+11,3176000000,40,1744000,16,2617,26958,11000,70000,71000000,741456000,2502000000,24919000000,0,702000,0,56594,5835,2237,4714,2025,Zagreb,Europe,Non-NATO,Europe & Central Asia
Jordan,75,11174024,3463947,2983464,145262,100500,65000,35000,0,274,44,6,13,66,13,0,155,44,1458,16624,358,80,56,27,0,0,0,0,0,0,0,27,0,2500000000,25646500000,1.07E+11,15715600000,17,3063000,1,509,7203,20,97000,1000000,187262000,4382000000,6031000000,0,479000,0,89342,26,1744,0,2025,Amman,Asia,Non-NATO,Middle East & North Africa
Libya,76,7361263,3827857,3290485,125141,32000,0,100000,0,143,10,1,6,38,0,0,16,4,43,1816,15,28,25,5,0,0,0,0,0,0,1,1,1,3060000000,3322000000,1.22E+11,92427000000,66,2398000,14,2000,37000,1245000,230000,48363000000,11832000000,9212000000,1.51E+12,0,0,0,1759540,1770,4339,0,2025,Tripoli,Africa,Non-NATO,Middle East & North Africa
Turkmenistan,77,5744151,2768681,2245963,109139,36500,0,3500,0,91,24,27,5,9,0,0,26,10,654,5016,73,450,164,16,0,0,0,0,0,0,0,16,0,1078020000,2134500000,94790000000,23415400000,23,2163000,0,5113,58592,272000,152000,600000000,86472000000,41561000000,1.13E+13,0,0,800000000,488100,1768,4158,1300,2025,Ashgabat,Asia,Non-NATO,Europe & Central Asia
Albania,78,3107100,1522479,1292554,62142,6600,2000,500,0,19,0,0,0,0,0,0,19,0,46,1796,0,50,135,19,0,0,0,0,0,0,0,19,0,558862420,7312000000,49592000000,6455000000,3,1388000,3,424,3945,1400,2600,150000000,50623000,50623000,5692000000,379000,389000,522000000,28748,362,691,41,2025,Tirana,Europe,Non-NATO,Europe & Central Asia
Kuwait,79,3138355,1726095,1449920,37660,72000,24000,7500,3239000,128,43,0,2,13,0,3,67,16,367,5636,74,0,27,123,0,0,0,0,0,0,0,106,0,6950000000,55000000000,2.19E+11,52619000000,6,2463000,6,0,5749,2910000,372000,1.02E+11,19285000000,26083000000,1.78E+12,0,145000,0,17818,499,475,0,2025,Kuwait City,Asia,Non-NATO,Middle East & North Africa
